,世帯人員１人,世帯人員２人,世帯人員３人,世帯人員４人,世帯人員５人,一戸建,長屋建,共同住宅,共同住宅１.２階建,共同住宅３.５階建,共同住宅６.１０階建,共同住宅１１階建以上,その他
板橋,9150,2974,1354,782,178,2161,26,11819,1105,4174,2592,3948,26
加賀,1576,884,754,616,107,127,7,3499,111,369,749,2270,1
大山東町,2261,703,343,196,50,433,18,3010,280,1105,667,958,5
大山金井町,2030,640,322,205,51,613,6,2552,409,1055,676,412,5
熊野町,1250,509,327,169,35,324,5,1853,82,413,613,745,2
中丸町,1857,695,450,273,72,577,18,2683,303,868,824,688,7
南町,1572,555,301,186,41,698,9,1917,328,820,496,273,5
稲荷台,774,242,177,215,49,425,8,956,268,289,146,253,1
仲宿,2254,952,530,345,79,1078,26,2999,484,1182,415,918,7
氷川町,1511,501,275,184,53,443,7,2033,148,835,519,531,3
栄町,1287,483,274,163,52,607,9,1564,279,818,467,0,5
大山町,1589,591,349,168,45,448,22,2232,271,976,360,625,8
大山西町,1524,514,259,159,37,668,17,1700,598,552,332,218,3
幸町,1413,703,343,227,52,739,10,1969,467,809,305,388,8
中板橋,1427,474,254,146,28,487,7,1797,379,1156,129,133,5
仲町,1417,445,231,150,45,658,10,1536,496,795,245,0,1
弥生町,1837,607,355,225,64,940,11,2092,551,1008,405,128,4
本町,2140,747,411,287,63,675,10,2917,262,979,881,795,2
大和町,1729,548,320,179,55,797,7,2002,357,663,429,553,4
双葉町,1736,593,313,232,61,756,17,2076,510,1300,266,0,4
富士見町,1296,533,271,135,34,635,12,1569,406,579,212,372,1
大谷口上町,1127,489,287,169,44,789,20,1261,482,373,195,211,4
大谷口北町,1353,714,455,308,68,959,17,1885,405,980,443,57,7
大谷口,1635,718,398,279,73,1190,13,1823,901,849,73,0,5
向原,2298,1058,556,307,58,599,20,3625,1016,1677,932,0,2
小茂根,4499,1845,1099,789,176,1900,28,6340,1236,3276,1653,175,6
常盤台,3758,1391,773,555,143,2145,25,4276,1278,2391,325,282,8
南常盤台,2703,804,407,254,53,616,12,3458,293,1753,1261,151,5
東新町,2461,1042,714,497,113,1386,30,3354,952,1552,734,116,2
上板橋,3018,1138,603,351,82,873,16,4213,763,2067,1137,246,3
清水町,2102,733,480,279,60,889,9,2713,370,816,590,937,2
蓮沼町,1727,598,338,202,59,879,16,1953,546,811,439,157,3
大原町,1094,486,332,268,50,428,1,1634,347,405,384,498,3
泉町,1004,329,220,168,39,549,10,1154,511,340,303,0,3
宮本町,1819,589,332,227,65,818,13,2164,600,956,157,451,3
志村,3261,1667,907,595,134,897,28,5426,589,1474,2272,1091,10
坂下,3743,2560,1546,994,210,1243,10,7687,533,2725,2719,1710,2
東坂下,658,460,296,188,46,293,3,1322,56,262,829,175,1
小豆沢,3563,1803,1134,721,150,966,15,6220,375,1634,2223,1988,5
西台,2234,1412,955,778,211,2109,29,3420,1016,1404,479,521,7
中台,3345,2087,1213,862,200,1789,50,5366,880,1614,1032,1840,6
若木,2258,1264,757,521,134,1644,42,3216,637,1807,473,299,4
蓮根,3667,2307,1282,912,214,1329,23,6903,666,2685,2128,1424,5
相生町,696,492,373,291,69,223,0,1660,95,514,739,312,4
前野町,6006,3474,2404,1802,375,2947,72,10693,1613,4591,2964,1525,17
赤塚,8779,3420,2080,1564,396,5419,203,10430,4918,4890,622,0,18
赤塚新町,2612,1164,713,434,92,1115,38,3794,817,1931,911,135,0
四葉,643,489,330,304,96,727,5,1068,327,620,121,0,2
大門,86,87,85,70,25,152,0,203,31,94,78,0,1
三園,1471,595,488,415,96,880,13,2169,573,1090,441,65,2
成増,7839,3356,1993,1400,289,2688,46,11959,2731,4938,2884,1406,14
徳丸,7144,3847,2701,2054,565,4827,65,11272,2440,5332,2771,729,34
東山町,1087,434,278,170,48,686,5,1321,351,421,437,112,1
桜川,1180,550,346,241,51,643,22,1654,429,880,345,0,1
高島平,13703,6939,3541,2019,483,2788,30,23483,2026,6867,3725,10865,16
新河岸,1005,946,427,308,82,360,3,2368,85,823,294,1166,1
舟渡,2028,987,689,464,108,628,7,3500,283,979,1726,512,4