MOJI,６歳未満親族,６５歳以上親族,一戸建,共同住宅
板橋１丁目,210,957,297,4142
板橋２丁目,134,804,375,3276
板橋３丁目,171,883,843,2220
板橋４丁目,140,783,646,2181
加賀１丁目,264,356,51,1419
加賀２丁目,199,453,76,2080
大谷口１丁目,62,371,465,623
大谷口２丁目,97,572,725,1200
向原１丁目,119,311,186,1027
向原２丁目,90,339,307,1307
向原３丁目,150,534,106,1291
小茂根１丁目,129,624,395,2292
小茂根２丁目,147,564,596,1468
小茂根３丁目,117,311,242,970
小茂根４丁目,103,387,443,1330
小茂根５丁目,52,105,224,280
常盤台１丁目,147,712,811,1547
常盤台２丁目,44,408,457,570
常盤台３丁目,88,557,556,1083
常盤台４丁目,80,443,321,1076
南常盤台１丁目,77,525,285,1938
南常盤台２丁目,103,530,331,1520
東新町１丁目,170,752,569,2082
東新町２丁目,169,709,817,1272
上板橋１丁目,66,370,309,886
上板橋２丁目,121,826,350,2282
上板橋３丁目,53,398,214,1045
志村１丁目,151,871,435,2236
志村２丁目,155,632,275,1698
志村３丁目,119,610,187,1492
坂下１丁目,169,1140,475,2449
坂下２丁目,206,951,308,2288
坂下３丁目,380,1336,460,2950
東坂下１丁目,131,287,199,770
東坂下２丁目,46,257,94,552
小豆沢１丁目,171,546,162,1753
小豆沢２丁目,287,771,325,2143
小豆沢３丁目,57,294,67,853
小豆沢４丁目,128,546,412,1471
西台１丁目,103,513,530,751
西台２丁目,163,624,785,973
西台３丁目,128,580,689,895
西台４丁目,77,287,105,801
中台１丁目,174,969,899,1923
中台２丁目,122,450,545,759
中台３丁目,188,1549,345,2684
若木１丁目,185,653,681,1161
若木２丁目,95,843,595,1413
若木３丁目,89,378,368,642
蓮根１丁目,127,407,403,1018
蓮根２丁目,222,1339,635,2972
蓮根３丁目,202,1306,291,2913
前野町１丁目,217,833,375,1798
前野町２丁目,462,900,533,2672
前野町３丁目,234,677,451,2042
前野町４丁目,139,756,593,1297
前野町５丁目,160,514,405,1197
前野町６丁目,128,957,590,1687
赤塚１丁目,142,639,644,1311
赤塚２丁目,180,790,853,2123
赤塚３丁目,142,689,533,2562
赤塚４丁目,135,629,814,1292
赤塚５丁目,115,501,796,823
赤塚６丁目,133,637,811,1210
赤塚７丁目,135,558,745,948
赤塚８丁目,50,107,223,161
赤塚新町１丁目,27,205,233,467
赤塚新町２丁目,67,271,305,789
赤塚新町３丁目,255,963,577,2538
四葉１丁目,99,317,420,609
四葉２丁目,118,207,307,459
三園１丁目,248,619,743,1830
三園２丁目,43,131,137,339
成増１丁目,308,844,442,2942
成増２丁目,211,589,384,2350
成増３丁目,392,834,552,3404
成増４丁目,161,707,944,1746
成増５丁目,108,797,366,1517
徳丸１丁目,213,1187,1011,2484
徳丸２丁目,127,639,568,1609
徳丸３丁目,259,1093,940,2506
徳丸４丁目,275,670,794,1508
徳丸５丁目,112,273,312,533
徳丸６丁目,242,625,808,1429
徳丸７丁目,93,196,187,560
徳丸８丁目,129,184,207,643
桜川１丁目,0,0,0,0
桜川２丁目,95,352,335,874
桜川３丁目,75,353,308,780
高島平１丁目,353,972,645,3812
高島平２丁目,271,4426,271,7841
高島平３丁目,131,1557,78,2617
高島平４丁目,78,307,435,503
高島平５丁目,90,564,764,745
高島平６丁目,0,0,0,2
高島平７丁目,187,762,387,2284
高島平８丁目,171,395,50,1853
高島平９丁目,327,1756,158,3826
新河岸１丁目,101,422,190,795
新河岸２丁目,52,968,54,1385
新河岸３丁目,18,101,116,188
舟渡１丁目,172,304,93,1593
舟渡２丁目,187,543,357,1356
舟渡３丁目,59,195,169,502
舟渡４丁目,1,15,9,49