MOJI,　　夫婦のみ世帯,　　夫婦と子供から成る世帯,　核家族以外の世帯,６歳未満親族のいる,１８歳未満親族のいる,６５歳以上親族のいる,持ち家,民営借家
板橋,1990,1875,371,655,1406,3427,4916,7989
加賀,713,1346,77,463,1044,809,2486,641
大山東町,452,480,109,171,340,852,1374,1970
大山金井町,414,453,97,145,350,880,1182,1924
熊野町,320,436,87,140,315,526,1155,1004
中丸町,470,655,98,252,507,895,1698,1427
南町,377,435,71,129,303,708,1265,1256
稲荷台,161,371,65,87,245,438,502,669
仲宿,651,775,177,272,568,1344,2071,1910
氷川町,353,435,61,196,352,551,950,1307
栄町,292,386,82,110,261,827,1034,948
大山町,397,446,86,194,357,720,1087,1525
大山西町,323,344,88,100,245,750,945,1344
幸町,413,480,118,146,365,1043,987,1248
中板橋,299,337,81,138,273,678,868,1407
仲町,307,336,80,122,254,732,817,1341
弥生町,382,512,125,215,396,945,1218,1750
本町,498,633,128,228,478,939,1408,2033
大和町,347,420,127,124,277,927,1050,1717
双葉町,401,496,81,160,368,944,1062,1579
富士見町,320,333,83,97,223,933,878,904
大谷口上町,327,405,92,126,268,833,1019,974
大谷口北町,474,686,118,175,478,992,1552,1219
大谷口,508,602,128,159,405,943,1372,1581
向原,724,793,150,359,593,1184,970,2415
小茂根,1252,1739,256,548,1298,1991,3241,4659
常盤台,906,1159,260,359,852,2120,2863,3249
南常盤台,505,587,109,180,437,1055,1539,2410
東新町,697,1115,154,339,808,1461,2009,2636
上板橋,718,823,180,240,579,1594,2125,2918
清水町,528,674,125,346,528,980,1383,1977
蓮沼町,380,482,101,132,296,923,1240,1540
大原町,362,568,66,174,434,543,1191,842
泉町,228,361,58,111,264,542,774,868
宮本町,389,504,107,145,369,855,1231,1571
志村,1200,1392,176,425,1011,2113,3335,2396
坂下,1769,2307,314,755,1706,3427,4207,2545
東坂下,313,453,60,177,366,544,1048,474
小豆沢,1288,1719,215,643,1317,2157,3751,2647
西台,947,1614,261,471,1156,2004,2922,2058
中台,1509,1920,262,484,1255,2968,4726,2276
若木,850,1195,174,369,846,1874,2729,1444
蓮根,1536,1965,309,551,1450,3052,3327,3161
相生町,335,626,70,225,501,519,1119,527
前野町,2422,3922,456,1340,3019,4637,7689,4092
赤塚,2308,3283,578,1032,2532,4550,6315,9334
赤塚新町,841,1046,141,349,722,1439,1831,2401
四葉,336,607,87,217,527,524,974,808
大門,64,166,15,48,118,85,304,46
三園,418,846,105,291,654,750,1426,1537
成増,2277,3143,446,1180,2457,3771,5973,7530
徳丸,2667,4491,605,1450,3335,4867,7742,8189
東山町,302,394,81,110,270,619,939,1049
桜川,365,536,81,170,396,705,919,1282
高島平,4664,5039,676,1608,3621,10739,7166,9375
新河岸,642,674,102,171,534,1491,791,260
舟渡,675,1090,120,419,855,1057,1900,1485